attncut:
dropout: 0.522210925762524, L2_weight: 0.045719309773477844, best_f1: 0.3796338919166046
dropout: 0.16718212205620062, L2_weight: 0.050998590479296724, best_f1: 0.42094102866635036
dropout: 0.5780171359446247, L2_weight: 0.056921821736501614, best_f1: 0.37798022693510774
dropout: 0.2189823135459457, L2_weight: 0.03310952429246116, best_f1: 0.37583287138843513
dropout: 0.21802404486871726, L2_weight: 0.007086796019612231, best_f1: 0.7801499076672419
dropout: 0.41145084744485094, L2_weight: 0.044765432366383036, best_f1: 0.2008428058569638
dropout: 0.4966700418808315, L2_weight: 0.04949528849686388, best_f1: 0.2337763716784702
dropout: 0.2619163824165812, L2_weight: 0.009900101261545613, best_f1: 0.378207796013593
dropout: 0.2133529296905244, L2_weight: 0.057775407114228586, best_f1: 0.37208532646982423
dropout: 0.33150367890751076, L2_weight: 0.02302540395230748, best_f1: 0.37670250318633663
dropout: 0.38570129734495673, L2_weight: 0.02630445422583176, best_f1: 0.2820673124268531
dropout: 0.32618977675490934, L2_weight: 0.03402657077874926, best_f1: 0.3749213479302654
dropout: 0.33728533934427407, L2_weight: 0.039790877656778065, best_f1: 0.37827378118494076
dropout: 0.2295042458577368, L2_weight: 0.04143022158490768, best_f1: 0.5689752653021989
dropout: 0.15341426885082785, L2_weight: 0.042452545915224474, best_f1: 0.2668458581869886
dropout: 0.5826210707760615, L2_weight: 0.0016876269337363263, best_f1: 0.7711590676130261
dropout: 0.2807613874570376, L2_weight: 0.029348359270476344, best_f1: 0.3779295301863113
dropout: 0.3609919548562466, L2_weight: 0.048594755850002065, best_f1: 0.3566415338595806
dropout: 0.19063243166661067, L2_weight: 0.040024402361219416, best_f1: 0.380472668111012
dropout: 0.4385629134001352, L2_weight: 0.04730977000913954, best_f1: 0.3773595682503588
dropout: 0.5528198380872603, L2_weight: 0.04148899526457545, best_f1: 0.37208532646982423
dropout: 0.182474739916599, L2_weight: 0.04169624852883647, best_f1: 0.2052773252803201
dropout: 0.5791046899086364, L2_weight: 0.009281746814507292, best_f1: 0.668809803073133
dropout: 0.5624326258129726, L2_weight: 0.05696774090159745, best_f1: 0.37782818814735597
dropout: 0.45617149391345924, L2_weight: 0.05054818444240052, best_f1: 0.214427362040008
dropout: 0.288481151195193, L2_weight: 0.05568052195585292, best_f1: 0.41575292986308443
dropout: 0.47364563311164176, L2_weight: 0.01296240530840867, best_f1: 0.3924810756869888
dropout: 0.4242486099894416, L2_weight: 0.04238080291715181, best_f1: 0.21661409715239882
dropout: 0.15647858508808152, L2_weight: 0.008720277847302517, best_f1: 0.2612301235033581
dropout: 0.37405952690584954, L2_weight: 0.021404077576945235, best_f1: 0.37208532646982423
dropout: 0.3695407823029053, L2_weight: 0.01806259017474351, best_f1: 0.21350261988938918
dropout: 0.10613912369898773, L2_weight: 0.007631532803733911, best_f1: 0.3720853264698242
dropout: 0.13871089192665206, L2_weight: 0.013603390578434307, best_f1: 0.1882789951673824
dropout: 0.3851642115684366, L2_weight: 0.038301746739147935, best_f1: 0.3720853264698241
dropout: 0.3644676914702062, L2_weight: 0.03555906443024184, best_f1: 0.37708368329177877
dropout: 0.3743473028219111, L2_weight: 0.04528191607275457, best_f1: 0.3767533199967841
dropout: 0.26435026026654895, L2_weight: 0.059009621078000396, best_f1: 0.2048104278204607
dropout: 0.4410022802939889, L2_weight: 0.006404553876694269, best_f1: 0.37208532646982423
dropout: 0.41973684736016015, L2_weight: 0.02631223806378243, best_f1: 0.3172499936084452
dropout: 0.20492562226825864, L2_weight: 0.02373847676463738, best_f1: 0.4058980667246533
dropout: 0.32930335469353067, L2_weight: 0.05279420632060159, best_f1: 0.3720853264698242
dropout: 0.29051034499788575, L2_weight: 0.014612431992318035, best_f1: 0.37208532646982423
dropout: 0.4197133992289419, L2_weight: 0.0024756345581373493, best_f1: 0.7832322506144976
dropout: 0.11927591966869003, L2_weight: 0.042077235035586115, best_f1: 0.37744335727059103
dropout: 0.30426793962724685, L2_weight: 0.03297634853717118, best_f1: 0.49196741618065754
dropout: 0.2359377071920454, L2_weight: 0.02979366426320356, best_f1: 0.3437042231445321
dropout: 0.5441340382262441, L2_weight: 0.024599669362289762, best_f1: 0.3839777856497008
dropout: 0.27592312791394136, L2_weight: 0.026380988513415783, best_f1: 0.3777471595326926
dropout: 0.37407891420816486, L2_weight: 0.008781596339176663, best_f1: 0.16446938982194845
dropout: 0.13344198817137584, L2_weight: 0.0253813261692673, best_f1: 0.21301563738830226
dropout: 0.3487682843793012, L2_weight: 0.016704249661279896, best_f1: 0.23071679955628144
dropout: 0.2217588813546685, L2_weight: 0.030630330380686202, best_f1: 0.24577821225034552
dropout: 0.5891774291854983, L2_weight: 0.004216836645616986, best_f1: 0.1498807941240912
dropout: 0.40857073833497615, L2_weight: 0.05351817463895045, best_f1: 0.4020348544351334
dropout: 0.5568214862774455, L2_weight: 0.00911120315564664, best_f1: 0.18586479539360187
dropout: 0.14516992713467478, L2_weight: 0.0570873803092432, best_f1: 0.3736394719019892
dropout: 0.582959594012472, L2_weight: 0.03402559892593537, best_f1: 0.37208532646982423
dropout: 0.12128285679128845, L2_weight: 0.03579150057369757, best_f1: 0.3776880982193892
