mtcut:
dropout: 0.522210925762524, L2_weight: 0.045719309773477844, best_f1: 0.7667194434127198
dropout: 0.16718212205620062, L2_weight: 0.050998590479296724, best_f1: 0.7669874325443257
dropout: 0.5780171359446247, L2_weight: 0.056921821736501614, best_f1: 0.7716183517066686
dropout: 0.2189823135459457, L2_weight: 0.03310952429246116, best_f1: 0.7712925259007374
dropout: 0.21802404486871726, L2_weight: 0.007086796019612231, best_f1: 0.7758442034673655
dropout: 0.41145084744485094, L2_weight: 0.044765432366383036, best_f1: 0.766465953564358
dropout: 0.4966700418808315, L2_weight: 0.04949528849686388, best_f1: 0.7680311672897104
dropout: 0.2619163824165812, L2_weight: 0.009900101261545613, best_f1: 0.7782902676597586
dropout: 0.2133529296905244, L2_weight: 0.057775407114228586, best_f1: 0.7648353837002196
dropout: 0.33150367890751076, L2_weight: 0.02302540395230748, best_f1: 0.7759233516899584
dropout: 0.38570129734495673, L2_weight: 0.02630445422583176, best_f1: 0.7729118605199375
dropout: 0.32618977675490934, L2_weight: 0.03402657077874926, best_f1: 0.7723470509944819
dropout: 0.33728533934427407, L2_weight: 0.039790877656778065, best_f1: 0.761936393333371
dropout: 0.2295042458577368, L2_weight: 0.04143022158490768, best_f1: 0.7649015921451308
dropout: 0.15341426885082785, L2_weight: 0.042452545915224474, best_f1: 0.7743772195357715
dropout: 0.5826210707760615, L2_weight: 0.0016876269337363263, best_f1: 0.7664528331784126
dropout: 0.2807613874570376, L2_weight: 0.029348359270476344, best_f1: 0.7637748950672811
dropout: 0.3609919548562466, L2_weight: 0.048594755850002065, best_f1: 0.7546473698112585
dropout: 0.19063243166661067, L2_weight: 0.040024402361219416, best_f1: 0.7625296339543743
dropout: 0.4385629134001352, L2_weight: 0.04730977000913954, best_f1: 0.7666784449497536
dropout: 0.5528198380872603, L2_weight: 0.04148899526457545, best_f1: 0.7733162152361621
dropout: 0.182474739916599, L2_weight: 0.04169624852883647, best_f1: 0.7716188594044249
dropout: 0.5791046899086364, L2_weight: 0.009281746814507292, best_f1: 0.7731984981731722
dropout: 0.5624326258129726, L2_weight: 0.05696774090159745, best_f1: 0.7446673335279498
dropout: 0.45617149391345924, L2_weight: 0.05054818444240052, best_f1: 0.7632483595619837
dropout: 0.288481151195193, L2_weight: 0.05568052195585292, best_f1: 0.7496151445309426
dropout: 0.47364563311164176, L2_weight: 0.01296240530840867, best_f1: 0.7783424646884224
dropout: 0.4242486099894416, L2_weight: 0.04238080291715181, best_f1: 0.7571062761187528
dropout: 0.15647858508808152, L2_weight: 0.008720277847302517, best_f1: 0.7741988126669445
dropout: 0.37405952690584954, L2_weight: 0.021404077576945235, best_f1: 0.7733671727203734
dropout: 0.3695407823029053, L2_weight: 0.01806259017474351, best_f1: 0.7761472416649643
dropout: 0.10613912369898773, L2_weight: 0.007631532803733911, best_f1: 0.7733081896560728
dropout: 0.13871089192665206, L2_weight: 0.013603390578434307, best_f1: 0.7733437596538721
dropout: 0.3851642115684366, L2_weight: 0.038301746739147935, best_f1: 0.7711898419025961
dropout: 0.3644676914702062, L2_weight: 0.03555906443024184, best_f1: 0.771070433308362
dropout: 0.3743473028219111, L2_weight: 0.04528191607275457, best_f1: 0.7695435400692038
dropout: 0.26435026026654895, L2_weight: 0.059009621078000396, best_f1: 0.64675969323855
dropout: 0.4410022802939889, L2_weight: 0.006404553876694269, best_f1: 0.7782439095783986
dropout: 0.41973684736016015, L2_weight: 0.02631223806378243, best_f1: 0.7652850259549847
dropout: 0.20492562226825864, L2_weight: 0.02373847676463738, best_f1: 0.7740759073833567
dropout: 0.32930335469353067, L2_weight: 0.05279420632060159, best_f1: 0.7680328551317913
